Pais,Dorsal,Nombre,Edad,Altura_m,Posicion,Atajadas,Balones_recuperados,Asistencias,Goles
Francia,1,Brice Samba,32,1.88,Portero,73.0,,,
Francia,2,Malo Gusto,23,1.78,Defensa,,34.0,,
Francia,3,Lucas Digne,32,1.78,Defensa,,24.0,,
Francia,4,Dayot Upamecano,27,1.85,Defensa,,27.0,,
Francia,5,Jules Koundé,27,1.8,Defensa,,19.0,,
Francia,6,Manu Koné,25,1.85,Mediocampista,,,5.0,
Francia,11,Michael Olise,24,1.83,Mediocampista,,,7.0,
Francia,13,N'Golo Kanté,35,1.68,Mediocampista,,,3.0,
Francia,14,Adrien Rabiot,31,1.91,Mediocampista,,,3.0,
Francia,10,Kylian Mbappé,27,1.78,Delantero,,,,25.0
Francia,7,Ousmane Dembélé,29,1.78,Delantero,,,,10.0
